black_pop,asian_pop,white_pop,hisp_pop,amin_pop,hp_pop,other_pop
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
12,1,25,13,,,
13,1,25,12,,,
13,1,25,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
