black_pop,asian_pop,white_pop,hisp_pop,amin_pop,hp_pop,other_pop
23,13,35,31,0,0,0
23,13,34,31,0,0,0
23,14,34,31,0,0,0
23,13,34,31,0,0,0
23,14,33,31,0,0,0
23,14,33,31,0,0,0
23,14,34,31,0,0,0
23,14,34,31,0,0,0
23,14,34,31,0,0,0
23,14,34,31,0,0,0
23,14,34,30,0,0,0
23,13,34,30,0,0,0
23,13,34,31,0,0,0
23,14,34,29,0,0,0
23,14,34,29,0,0,0
23,13,34,30,0,0,0
23,14,33,30,0,0,0
23,14,34,30,0,0,0
23,14,34,30,0,0,0
23,14,34,30,0,0,0
23,15,34,29,0,0,0
23,15,34,29,0,0,0
23,15,34,29,0,0,0
23,15,35,29,0,0,0
23,15,35,29,0,0,0
23,15,34,30,0,0,0
23,15,34,31,0,0,0
23,15,34,31,0,0,0
23,14,34,31,0,0,0
22,15,35,30,0,0,0
23,15,35,30,0,0,0
22,15,35,30,0,0,0
22,15,35,30,0,0,0
22,15,35,32,0,0,0
22,15,35,32,0,0,0
22,15,35,31,0,0,0
22,15,35,32,0,0,0
22,15,35,32,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,32,0,0,0
22,15,35,32,0,0,0
22,14,35,30,0,0,0
22,15,35,30,0,0,0
22,15,35,31,0,0,0
22,16,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,16,35,31,0,0,0
22,15,35,31,0,0,0
22,15,35,31,0,0,0
22,16,35,31,0,0,0
22,15,35,30,0,0,0
22,15,36,30,0,0,0
22,15,35,30,0,0,0
22,15,36,31,0,0,0
22,15,36,31,0,0,0
22,15,36,31,0,0,0
22,15,36,30,0,0,0
22,15,36,32,0,0,0
22,16,36,32,0,0,0
23,15,36,31,0,0,0
23,16,36,31,0,0,0
22,16,36,31,0,0,0
22,16,36,31,0,0,0
22,16,36,31,0,0,0
22,15,36,31,0,0,0
22,15,36,31,0,0,0
22,15,36,31,0,0,0
22,15,36,32,0,0,0
22,15,36,32,0,0,0
22,15,36,31,0,0,0
22,15,35,31,0,0,0
22,15,35,32,0,0,0
22,15,35,32,0,0,0
22,15,35,33,0,0,0
22,15,34,33,0,0,0
22,15,35,32,0,0,0
22,15,35,32,0,0,0
22,15,35,33,0,0,0
22,15,35,32,0,0,0
22,15,35,33,0,0,0
22,15,36,32,0,0,0
22,15,36,33,0,0,0
22,15,35,33,0,0,0
22,15,35,33,0,0,0
22,14,35,33,0,0,0
22,14,35,33,0,0,0
22,14,35,33,0,0,0
22,14,35,33,0,0,0
22,14,35,33,0,0,0
22,14,35,32,0,0,0
22,14,36,31,0,0,0
22,15,36,31,0,0,0
22,15,36,32,0,0,0
22,15,36,32,0,0,0
22,14,35,32,0,0,0
23,15,35,32,0,0,0
23,15,34,33,0,0,0
23,15,35,33,0,0,0
23,15,35,33,0,0,0
23,15,36,32,0,0,0
23,15,35,33,0,0,0
23,15,34,32,0,0,0
23,15,34,32,0,0,0
23,15,35,32,0,0,0
23,16,35,32,0,0,0
23,15,35,32,0,0,0
23,15,35,32,0,0,0
22,15,35,32,0,0,0
22,15,35,33,0,0,0
22,15,35,33,0,0,0
22,15,35,33,0,0,0
22,15,35,33,0,0,0
22,15,35,33,0,0,0
22,15,34,33,0,0,0
22,15,34,33,0,0,0
22,15,34,33,0,0,0
22,15,34,33,0,0,0
22,15,34,33,0,0,0
22,15,34,33,0,0,0
22,15,34,33,0,0,0
22,16,34,33,0,0,0
22,16,34,33,0,0,0
22,15,34,33,0,0,0
22,16,34,33,0,0,0
22,16,34,33,0,0,0
22,16,34,33,0,0,0
23,16,34,33,0,0,0
23,15,34,33,0,0,0
23,17,34,33,0,0,0
23,16,34,33,0,0,0
23,16,35,33,0,0,0
22,16,34,32,0,0,0
23,16,34,33,0,0,0
23,16,34,33,0,0,0
23,16,34,33,0,0,0
23,15,35,33,0,0,0
23,16,35,33,0,0,0
23,16,35,34,0,0,0
23,15,35,34,0,0,0
23,15,34,34,0,0,0
22,16,34,33,0,0,0
23,16,34,33,0,0,0
22,15,34,33,0,0,0
23,16,35,32,0,0,0
23,16,35,33,0,0,0
23,15,35,33,0,0,0
23,15,35,32,0,0,0
23,15,35,33,0,0,0
23,15,35,33,0,0,0
23,14,35,33,0,0,0
23,14,35,33,0,0,0
23,14,35,33,0,0,0
23,15,35,33,0,0,0
23,15,34,33,0,0,0
23,15,34,33,0,0,0
23,14,35,33,0,0,0
23,14,36,33,0,0,0
23,16,36,33,0,0,0
23,15,35,34,0,0,0
23,15,36,33,0,0,0
